Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome AGMacD. ",16,
Moderator,57,57,"Thank you for participating in this study. ",43,
AGMacD,84,27,"No problem ",11,
Moderator,107,23,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,115,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,123,8,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,131,8,"You&#039;ll be talking to him twice. ",37,
Moderator,149,18,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,157,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,167,10,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,174,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,186,12,"You will not be talking twice with the same Actor. ",51,
Moderator,194,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,203,9,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,211,8,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,219,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,227,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,236,9,"Do not type more than one post per answer. ",43,
Moderator,245,9,"Do you understand the rules and what you have to do? ",53,
AGMacD,251,6,"Yes ",4,
Moderator,254,3,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
AGMacD,264,10,"Yes ",4,
Andrew,269,5,"Hello! ",7,
AGMacD,274,5,"Hi ",3,1
Andrew,280,6,"How are you doing? ",19,1
AGMacD,285,5,"Good ",5,1
Andrew,295,10,"Cool. What are you up to? ",26,1
AGMacD,312,17,"Working at the moment ",22,1
Andrew,322,10,"Oh? What are you working on? ",29,1
AGMacD,359,37,"Property repair estimates from a recent storm ",46,1
Andrew,390,31,"Oh damn. Was a lot damaged? ",28,1
AGMacD,445,55,"Maybe 2000 or so homes, Our company took files for almost 1100 ",63,1
Andrew,479,34,"Where was it? ",14,1
AGMacD,537,58,"Here in Newfoundland, Canada. Avalon peninsula took most of the damage  ",72,1
Andrew,566,29,"Is your place alright? If you live there that is. ",50,1
AGMacD,666,100,"Yeah, luckily my home wasn&#039;t damaged. Due to the geography around my home its take a unique wind direction to damage it. ",126,1
Andrew,708,42,"Oh that&#039;s good then. How many files do you have left to work on? ",70,1
AGMacD,829,121,"somewhere between 150-200  ",27,1
Andrew,855,26,"Not that many left then. Have you been working on it for a long time now? ",74,1
AGMacD,934,79,"4 weeks , 10-12 hrs a day ",26,1
Andrew,985,51,"How much longer do you think it will take for you to finish? ",61,1
AGMacD,999,14,"2 weeks maybe ",14,1
Andrew,1018,19,"Oh alright. Well good luck then! ",33,1
AGMacD,1033,15,"Thank you  ",11,1
Andrew,1049,16,"What are you going to do tonight? ",34,1
AGMacD,1093,44,"I get home around 530, so ill be playing with my kinds until bedtime and then watch Big Brother Canada with my wife.  ",118,1
Andrew,1130,37,"Oh that sounds nice. How many kids do you have? ",48,1
AGMacD,1147,17,"3 ",2,1
Andrew,1164,17,"Cool. How old are they? ",24,1
Moderator,1178,14,"Time is up! ",12,
AGMacD,1188,10,"4 years old , 2 1/2 years old and 5 months ",43,
Moderator,1192,4,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
AGMacD,1208,16,"Human ",6,
Moderator,1214,6,"Alright. We&#039;ll start the next conversation. Andrew will begin and then you&#039;ll have 15 minutes after your answer. Are you ready? ",138,
AGMacD,1222,8,"yes ",4,
Andrew,1226,4,"Hello! ",7,
AGMacD,1232,6,"Hi ",3,2
Andrew,1240,8,"How are you doing? ",19,2
AGMacD,1245,5,"Good ",5,2
Andrew,1261,16,"Nice. What are you up to? ",26,2
AGMacD,1304,43,"I am at work right now ",23,2
Andrew,1354,50,"Oh alright. What does it consist in if you don&#039;t mind me asking? ",70,2
AGMacD,1415,61,"I am a Estimator for insured properties with a international company called BELFOR ",83,2
Andrew,1474,59,"Oh nice. There must be a lot of work to do. ",44,2
AGMacD,1498,24,"There is yes ",13,2
Andrew,1542,44,"Anything planned for this evening? ",35,2
AGMacD,1593,51,"Playing with my children for a few hours after i get home from work before bedtime and then watching Big Brother Canada with my wife ",133,2
Andrew,1624,31,"That sounds quite nice. How many children do you have? ",55,2
AGMacD,1640,16,"3 ",2,2
Andrew,1663,23,"Cool. What do you like to do in general? ",41,2
AGMacD,1687,24,"My hobbies are Minecraft and Bushcraft ",39,2
Andrew,1719,32,"Oh I play Minecraft too! I don&#039;t think I&#039;ve heard of Bushcraft though. ",81,2
AGMacD,1769,50,"Its a type of outdoor lifestyle and essential skill set  ",57,2
Andrew,1824,55,"Oh ok. That sounds nice. ",25,2
AGMacD,1849,25,"thank you, Its a lot of fun  ",29,2
Andrew,1894,45,"No problem. Do you read sometimes? ",35,2
AGMacD,1939,45,"I do, but only Bushcraft related doors and other wilderness information / fact books  ",86,2
Andrew,1984,45,"What do you mean by Bushcraft related doors? ",45,2
AGMacD,2014,30,"Sorry that was a type-o, I meant Bushcraft related Books  ",58,2
Andrew,2061,47,"Oh it&#039;s alright. What do you like in those books? ",55,2
AGMacD,2117,56,"Its filled with a lot of useful outdoors skills and information that can help you to be self sufficient  ",105,2
Moderator,2140,23,"Time is up! ",12,
Moderator,2158,18,"Which actor do you think you&#039;ve been talking to in the first conversation?  ",81,
AGMacD,2167,9,"Human ",6,
Moderator,2172,5,"On a scale from 1 (not sure at all) to 7 (certain), how confident are you of your answer? ",90,
AGMacD,2185,13,"7 ",2,
Moderator,2208,23,"Alright thank you for your participation! If you&#039;ve given your e-mail, we&#039;ll send you some information about the results of this study in the coming months.  ",168,
Moderator,2228,20,"If you have any comments you&#039;d like to share, feel free to do so now. Otherwise you can now close this window. ",116,
AGMacD,2260,32,"Thank you, no that&#039;s ok. I enjoyed the game ",49,
,,,,,
Summary,,,,,
,First Conversation,Second Conversation,,,
Duration,890,885,,,
User Average,43.6153846153846,33.5384615384615,,,
Actor Average,25.2307692307692,37.9166666666667,,,
User Average (5min),29.5,27.8,,,
Actor Average (5min),20,33.25,,,
User CharLength,41.1538461538462,48.9230769230769,,,
Actor CharLength,39.2307692307692,44.25,,,
User CharLength (5min),35.1666666666667,25.4,,,
Actor CharLength (5min),27.6666666666667,39.75,,,
