Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Argiser! ",15,
Moderator,10,10,"Thank you for participating in this study. ",43,
Moderator,26,16,"Are you able to read this? ",27,
Argiser,27,1,"No biggie, glad to help. ",25,
Argiser,34,7,"Yeah, sure am. ",15,
Moderator,43,9,"Alright. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",113,
Moderator,52,9,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,63,11,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,72,9,"You&#039;ll be talking to him twice. ",37,
Moderator,79,7,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,87,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,95,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,102,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,108,6,"You will not be talking twice with the same Actor. ",51,
Moderator,116,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,123,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,130,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,137,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,145,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,151,6,"Do not type more than one post per answer. ",43,
Moderator,158,7,"Do you understand the rules and what you have to do? ",53,
Argiser,197,39,"I only have one question. If I chose to say stop, it will only be for the current actor, correct? ",98,
Moderator,211,14,"Yes that is correct. ",21,
Argiser,219,8,"I understand, then. ",20,
Moderator,225,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Argiser,232,7,"Yes. ",5,
