Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Br&yuml;zz! ",18,
Moderator,10,10,"Thank you for participating in this study. ",43,
Moderator,25,15,"Are you able to read this? ",27,
Br&yuml;zz,33,8,"Yes, I am. ",11,
Moderator,42,9,"Alright. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",113,
Moderator,50,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,61,11,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,71,10,"You&#039;ll be talking to him twice. ",37,
Moderator,79,8,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,87,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,94,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,99,5,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,107,8,"You will not be talking twice with the same Actor. ",51,
Moderator,113,6,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,121,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,128,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,136,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,143,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,149,6,"Do not type more than one post per answer. ",43,
Moderator,156,7,"Do you understand the rules and what you have to do? ",53,
Br&yuml;zz,160,4,"Yes, I do. ",11,
Moderator,168,8,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Br&yuml;zz,173,5,"Yep! ",5,
Andrew,180,7,"Hello! ",7,
Br&yuml;zz,187,7,"Heyah! How are you ? ",21,1
Andrew,197,10,"I&#039;m doing alright! What about you? ",40,1
Br&yuml;zz,215,18,"I&#039;m doing fairly well, thanks. Any good news recently ? ",61,1
Andrew,265,50,"Well, I&#039;d say summer break! You? ",38,1
Br&yuml;zz,327,62,"My studies will conclude with a paid job. No more classes nor homeworks ! It will help having more free time. And money, of course. ",132,1
Andrew,359,32,"Oh that&#039;s fantastic! I can&#039;t wait to reach that point too. What will you be doing? ",93,1
