Author,TimeStamp,Delay,Message,Characters,Conversation
Cyrus,0,0,Hello ,6,
Moderator,7,7,Hello Cyrus! ,13,
Moderator,12,5,Thank you for participating in this study. ,43,
Cyrus,36,24,Hello ,6,
Moderator,47,11,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,54,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,67,13,You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ,131,
Moderator,75,8,You&#039;ll be talking to him twice. ,37,
Moderator,86,11,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,92,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,99,7,We will call the Human and the Artificial Intelligence the Actors. ,67,
Moderator,108,9,The order in which you&#039;ll be talking to each Actor is random. ,67,
Moderator,113,5,You will not be talking twice with the same Actor. ,51,
Moderator,119,6,Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ,120,
Moderator,124,5,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,132,8,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,139,7,Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ,91,
Moderator,146,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,154,8,Do not type more than one post per answer. ,43,
Moderator,165,11,Do you understand the rules and what you have to do? ,53,
Cyrus,172,7,Yes ,4,
Moderator,179,7,Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready?  ,103,
Cyrus,185,6,Yes ,4,
Andrew,197,12,Hello! ,7,
Cyrus,202,5,Hello. ,7,1
Andrew,208,6,How are you doing? ,19,1
Cyrus,218,10,"I&#039;m fine thanks, yourself? ",32,1
Andrew,232,14,I&#039;m doing alright. What are you up to? ,44,1
Cyrus,244,12,"Not much really, you? ",22,1
Andrew,265,21,"Honestly, pretty much the same. Playing a bit of Minecraft but that&#039;s about it. ",85,1
Cyrus,300,35,I haven&#039;t played Minecraft in years ,41,1
Andrew,331,31,I&#039;ve only been playing it for a couple of years myself. I&#039;m kinda addicted to it. ,92,1
Cyrus,358,27,Why do you like it? ,20,1
Andrew,377,19,Mostly for building and socializing. ,37,1
Cyrus,389,12,So you play online? ,20,1
Andrew,402,13,Yeah. Single player is way too boring. ,39,1
Cyrus,420,18,That might be why I never enjoyed it. ,38,1
Andrew,437,17,Probably yes. You never tried playing online? ,46,1
Cyrus,504,67,"Only once or twice, but only with two other people. ",52,1
Andrew,523,19,"Oh I see. I actually own a server, so it helps meeting people ",62,1
Cyrus,548,25,How often do you play?# ,24,1
Andrew,566,18,"Almost every day, but it depends. ",34,1
Cyrus,589,23,On what? ,9,1
Andrew,636,47,"It depends on how much work I have to do, or how busy I am with other things in general. ",89,1
Cyrus,654,18,What sort of things? ,21,1
Andrew,679,25,"Homework, mostly. ",18,1
Cyrus,702,23,Do you have any tests coming up? ,33,1
Andrew,733,31,"No, I&#039;m done for this year. I&#039;m in summer break now. How about you? ",78,1
Cyrus,749,16,I haven&#039;t taken a test in years. ,38,1
Andrew,769,20,What do you do now? ,20,1
Cyrus,791,22,Work ,5,1
Andrew,800,9,What kind of work? ,19,1
Cyrus,831,31,Finance work ,13,1
Andrew,847,16,"Oh, that sounds quite serious indeed! ",38,1
Cyrus,857,10,"It&#039;s not, it&#039;s a load of wank. ",41,1
Andrew,938,81,"Ah ok then. I study biology, I was in my 3rd year. ",51,1
Cyrus,957,19,How many years is the course? ,30,1
Andrew,993,36,"4, and then I have to write a master thesis. ",45,1
Cyrus,1014,21,Any idea what you&#039;ll write it on? ,39,1
