Author,TimeStamp,Delay,Message,Characters,Conversation
DarkUmbreChar,0,0,"Hello. ",7,
Moderator,5,5,"Welcome DarkUmbreChar. ",23,
Moderator,15,10,"Thank you for participating in this study. ",43,
Moderator,34,19,"If you can see this, please say yes. ",37,
DarkUmbreChar,38,4,"yes ",4,
Moderator,42,4,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,50,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,59,9,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,68,9,"You&#039;ll be talking to him twice. ",37,
Moderator,75,7,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,84,9,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,93,9,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,104,11,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,113,9,"You will not be talking twice with the same Actor. ",51,
Moderator,121,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,129,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,137,8,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,145,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,153,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,161,8,"Do not type more than one post at a time. ",42,
Moderator,171,10,"Do you understand the rules and what you have to do? ",53,
DarkUmbreChar,175,4,"Yes ",4,
Moderator,185,10,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
DarkUmbreChar,192,7,"Yes ",4,
Andrew,201,9,"Hello! ",7,
DarkUmbreChar,207,6,"Hello ",6,1
Andrew,213,6,"How are you doing? ",19,1
DarkUmbreChar,223,10,"I&#039;m doing good, You? ",26,1
Andrew,230,7,"I&#039;m doing alright. ",24,1
DarkUmbreChar,242,12,"Thats good. ",12,1
Andrew,249,7,"What are you up to? ",20,1
DarkUmbreChar,267,18,"Nothing much, just on a chat site. ",35,1
Andrew,309,42,"Alright. How is your day going? ",32,1
DarkUmbreChar,335,26,"Its going good thanks. ",23,1
Andrew,350,15,"What do you like to do? ",24,1
DarkUmbreChar,378,28,"Stop ",5,1
Moderator,386,8,"Conversation Interrupted. ",26,
Moderator,406,20,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
DarkUmbreChar,429,23,"AI ",3,
Moderator,465,36,"Alright. We&#039;ll start the next conversation. Andrew will begin, then you&#039;ll have 15 minutes again after your answer. Are you ready? ",141,
DarkUmbreChar,492,27,"Yes ",4,
Andrew,498,6,"Hello! ",7,
DarkUmbreChar,502,4,"Hi ",3,2
Andrew,508,6,"How are you doing? ",19,2
DarkUmbreChar,523,15,"Good, you? ",11,2
Andrew,534,11,"I&#039;m good to. What are you up to? ",38,2
DarkUmbreChar,596,62,"Nothing much, just on a chat site. ",35,2
Andrew,641,45,"Oh alright. What are you chatting  about?",41,2
DarkUmbreChar,671,30,"It&#039;s a type of fetish chat thing. ",39,2
Andrew,684,13,"Oh, that sounds kinky. ",23,2
DarkUmbreChar,720,36,"Hehe it is ",11,2
Andrew,758,38,"What are you going to do tonight? ",34,2
DarkUmbreChar,780,22,"Stop ",5,2
Moderator,791,11,"Conversation Interrupted. ",26,
Moderator,806,15,"Which actor do you think you&#039;ve been talking to in the first conversation?  ",81,
DarkUmbreChar,831,25,"The one was a human ",20,
Moderator,875,44,"The first conversation right? Or this one? ",43,
Moderator,895,20,"(Just to clarify, I didn&#039;t quite understand your answer) ",62,
DarkUmbreChar,897,2,"Sorry didn&#039;t read it properly This one was a human, the first one was AI ",78,
Moderator,911,14,"Alright. On a scale from 1 (not sure at all) to 7 (certain), how confident are you of your answer? ",99,
DarkUmbreChar,955,44,"5 ",2,
Moderator,970,15,"Alright thank you for your participation! If you&#039;ve given your e-mail, we&#039;ll send you some information about the results of this study in the coming months.  ",168,
Moderator,986,16,"If you have any comments, feel free to share them now. Otherwise, you can now close this window. ",97,
DarkUmbreChar,987,1,"Alright then, thank you, this was fun ",38,
DarkUmbreChar,4856,3869,"Hello ",6,
DarkUmbreChar,4879,23,"I have a question ",18,
,,,,,
Summary,,,,,
,First Conversation,Second Conversation,,,
Duration,171,278,,,
User Average,16.6666666666667,28.1666666666667,,,
Actor Average,15.4,22.6,,,
User Average (5min),16.6666666666667,28.1666666666667,,,
Actor Average (5min),15.4,22.6,,,
User CharLength,17.8333333333333,17.3333333333333,,,
Actor CharLength,23.8,31,,,
User CharLength (5min),17.8333333333333,17.3333333333333,,,
Actor CharLength (5min),23.8,31,,,
