Author,TimeStamp,Delay,Message,Characters,Conversation
Darkwater,0,0,"Good evening ",13,
Moderator,1,1,"Welcome Darkwater ",18,
Darkwater,9,8,"Good evening ",13,
Moderator,15,6,"Thank you for participating in this study. ",43,
Moderator,25,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Darkwater,34,9,"Understandable ",15,
Moderator,37,3,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,49,12,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,57,8,"You&#039;ll be talking to him twice. ",37,
Moderator,65,8,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,76,11,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,86,10,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,92,6,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,101,9,"You will not be talking twice with the same Actor. ",51,
Moderator,110,9,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,121,11,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,131,10,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,143,12,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,152,9,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,161,9,"Do not type more than one post per answer. ",43,
Moderator,167,6,"Do you understand the rules and what you have to do? ",53,
Darkwater,183,16,"yup ",4,
Moderator,195,12,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Darkwater,238,43,"ready. ",7,
Andrew,248,10,"Hello! ",7,
Darkwater,255,7,"Good evening ",13,1
Andrew,262,7,"How are you doing? ",19,1
Darkwater,272,10,"I am doing well, yourself? ",27,1
Andrew,282,10,"I&#039;m doing alright. ",24,1
Darkwater,295,13,"Are you ready to begin? ",24,1
Andrew,309,14,"Begin what? ",12,1
Darkwater,333,24,"A fun little game I thought of. ",32,1
Andrew,347,14,"What is it? ",12,1
Darkwater,366,19,"I ask a few questions and you answer them. ",43,1
Andrew,381,15,"I can try! ",11,1
Darkwater,426,45,"Awesome, lets begin. ",21,1
Andrew,437,11,"I&#039;m ready. ",16,1
Darkwater,469,32,"There are two people, you can only save one. One is a mother, one is a prisoner. Which one do you save? ",104,1
Andrew,529,60,"Does the prisoner have a family? ",33,1
Darkwater,540,11,"They both have a family. ",25,1
Andrew,567,27,"Why was the prisoner in prison? ",32,1
Darkwater,598,31,"I cannot answer that question, if i did, it would effect the questions to come. ",80,1
Andrew,633,35,"The mother. ",12,1
Darkwater,693,60,"There are two people. One is a mother of four, and one is a 70 year old lady. You can only save one, which one do you save? ",124,1
Andrew,753,60,"How old is the oldest child of the mother? ",43,1
Darkwater,767,14,"Grade school age. ",18,1
Andrew,776,9,"The mother. ",12,1
Darkwater,900,124,"There are two buses full of people, one of school kids, one of businesswomen. You can save both, only if you sacrifice yourself. Do you save both, ending your life, or pick one of the buses to save? ",199,1
Andrew,931,31,"Both. ",6,1
Darkwater,962,31,"So you would sacrifice yourself? ",33,1
Andrew,969,7,"Yes. ",5,1
Darkwater,1039,70,"Last question. Which comedian died today? ",42,1
Andrew,1050,11,"I have no idea. ",16,1
Darkwater,1071,21,"Thank you, do you have anything you would like to ask me? ",58,1
Andrew,1088,17,"Which comedian died today? ",27,1
Darkwater,1119,31,"charlie murphy. Why not save the old lady? ",43,1
Andrew,1143,24,"Because children would likely need their mother more. ",54,1
Moderator,1158,15,"Time is up! ",12,
Darkwater,1172,14,"ok ",3,
Moderator,1178,6,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Darkwater,1204,26,"human ",6,
Moderator,1218,14,"Alright. We&#039;ll start the second conversation. Andrew will begin, then you&#039;ll have 15 minutes after your answer. Are you ready? ",137,
Darkwater,1226,8,"yes ",4,
Andrew,1232,6,"Hello! ",7,
Darkwater,1239,7,"Good evening ",13,2
Andrew,1245,6,"How are you doing? ",19,2
Darkwater,1258,13,"I&#039;m well. Tell me, what is your biggest fear ",50,2
Andrew,1291,33,"Mmm. Being forgotten I&#039;d say. ",35,2
Darkwater,1308,17,"Can you tell me the three laws of robotics? ",44,2
Andrew,1393,85,"I don&#039;t think I remember them actually. Basically, don&#039;t harm humans even if you&#039;re told to. ",108,2
Darkwater,1433,40,"How old are you? ",17,2
Andrew,1453,20,"I&#039;m 21. How about you? ",28,2
Darkwater,1473,20,"25. Can you physically make  a child? ",38,2
Andrew,1489,16,"Uh. I guess? ",13,2
Darkwater,1508,19,"Shall i restate the question? ",30,2
Andrew,1533,25,"Might have to yes. That was pretty weird. ",42,2
Darkwater,1558,25,"Can you propagate? ",19,2
Andrew,1608,50,"This is even weirder. Do you want me to say that I can replicate myself thanks to 3D printers? ",95,2
Darkwater,1652,44,"yes that is fine.  ",19,2
Andrew,1662,10,"Can you? ",9,2
Darkwater,1675,13,"I cannot replicate myself. ",27,2
Darkwater,1702,27,"What is your first memory? ",27,2
Moderator,1726,24,"Please only send one post at a time. ",37,2
Andrew,1743,17,"I&#039;m not quite sure actually. ",34,2
