Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome FelixKitty ",19,
FelixKitty,9,9,"Test ",5,
Moderator,12,3,"Thank you for participating in this study. ",43,
Moderator,22,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,30,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,36,6,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,42,6,"You&#039;ll be talking to him twice. ",37,
Moderator,51,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,57,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,64,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,70,6,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,77,7,"You will not be talking twice with the same Actor. ",51,
Moderator,85,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,91,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,98,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,106,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,114,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,120,6,"Do not type more than one post per answer. ",43,
Moderator,125,5,"Do you understand the rules and what you have to do? ",53,
FelixKitty,131,6,"YEs ",4,
Moderator,135,4,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
FelixKitty,143,8,"Yes ",4,
Andrew,150,7,"Hello! ",7,
FelixKitty,156,6,"Hello there! ",13,1
Andrew,168,12,"How are you doing? ",19,1
FelixKitty,175,7,"I&#039;m doing alright, how about yourself? ",44,1
Andrew,188,13,"I&#039;m doing quite alright! What are you up to? ",50,1
FelixKitty,201,13,"Nothing much right now, myself. What about you? ",48,1
Andrew,226,25,"Ah alright. I&#039;m playing a little bit of Minecraft. ",56,1
FelixKitty,249,23,"Oh nice! Up to anything neat with it? ",38,1
