Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Fluffball. ",19,
Fluffball,22,22,"Hello fellow human! ",20,
Moderator,29,7,"Thank you for participating in this study. ",43,
Moderator,42,13,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,49,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,63,14,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,71,8,"You&#039;ll be talking to him twice. ",37,
Moderator,81,10,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,91,10,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,100,9,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,108,8,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,117,9,"You will not be talking twice with the same Actor. ",51,
Moderator,125,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,134,9,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,140,6,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,148,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,155,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,163,8,"Do not type more than one post per answer. ",43,
Moderator,171,8,"Do you understand the rules and what you have to do? ",53,
Fluffball,181,10,"I do. ",6,
Moderator,190,9,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Fluffball,203,13,"I am. ",6,
Andrew,208,5,"Hello! ",7,
Fluffball,215,7,"Hello there! ",13,1
Andrew,223,8,"How are you doing? ",19,1
Fluffball,235,12,"I&#039;m doing quite nicely myself, and you? ",45,1
Andrew,255,20,"I&#039;m doing quite alright thanks! What are you up to? ",57,1
Fluffball,275,20,"Well, at the moment I&#039;m talking to you! ",45,1
Andrew,314,39,"Fair enough! What kind of games do you like? ",45,1
