Author,Delay,Previous Characters,Characters,Ratio,Mean,STDEV,Ratio2,Mean2,STDEV2,Range,Range2,Conversation,Violation
112,6,7,13,2.16666666666667,1.51043725865396,0.737796317095412,3.33333333333333,4.65562430648439,2.38066461815348,3,2,1,0
112,6,19,16,2.66666666666667,1.51043725865396,0.737796317095412,5.83333333333333,4.65562430648439,2.38066461815348,4,3,1,0
112,20,33,32,1.6,1.51043725865396,0.737796317095412,3.25,4.65562430648439,2.38066461815348,3,2,1,3
112,10,12,15,1.5,1.51043725865396,0.737796317095412,2.7,4.65562430648439,2.38066461815348,2,2,1,0
112,11,9,18,1.63636363636364,1.51043725865396,0.737796317095412,2.45454545454545,4.65562430648439,2.38066461815348,3,2,1,0
112,20,60,34,1.7,1.51043725865396,0.737796317095412,4.7,4.65562430648439,2.38066461815348,3,3,1,0
112,36,36,23,0.638888888888889,1.51043725865396,0.737796317095412,1.63888888888889,4.65562430648439,2.38066461815348,1,1,1,0
112,15,68,31,2.06666666666667,1.51043725865396,0.737796317095412,6.6,4.65562430648439,2.38066461815348,3,3,1,0
112,19,39,28,1.47368421052632,1.51043725865396,0.737796317095412,3.52631578947368,4.65562430648439,2.38066461815348,2,2,1,0
112,50,74,29,0.58,1.51043725865396,0.737796317095412,2.06,4.65562430648439,2.38066461815348,1,1,1,3
112,26,47,27,1.03846153846154,1.51043725865396,0.737796317095412,2.84615384615385,4.65562430648439,2.38066461815348,2,2,1,3
112,36,95,7,0.194444444444444,1.51043725865396,0.737796317095412,2.83333333333333,4.65562430648439,2.38066461815348,1,2,1,3
112,6,7,4,0.666666666666667,1.51043725865396,0.737796317095412,1.83333333333333,4.65562430648439,2.38066461815348,1,1,2,0
112,10,19,16,1.6,1.51043725865396,0.737796317095412,3.5,4.65562430648439,2.38066461815348,3,2,2,0
112,22,32,24,1.09090909090909,1.51043725865396,0.737796317095412,2.54545454545455,4.65562430648439,2.38066461815348,2,2,2,0
112,5,20,15,3,1.51043725865396,0.737796317095412,7,4.65562430648439,2.38066461815348,4,3,2,0
112,14,47,37,2.64285714285714,1.51043725865396,0.737796317095412,6,4.65562430648439,2.38066461815348,4,3,2,0
112,23,141,27,1.17391304347826,1.51043725865396,0.737796317095412,7.30434782608696,4.65562430648439,2.38066461815348,2,4,2,0
112,23,110,48,2.08695652173913,1.51043725865396,0.737796317095412,6.8695652173913,4.65562430648439,2.38066461815348,3,3,2,0
