Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Geography1! ",20,
Moderator,4,4,"Thank you for participating in this study! ",43,
Moderator,14,10,"Are you able to read this? ",27,
Geography1,20,6,"I&#039;m curious to see how it works,  and yes, I can read this. ",65,
Moderator,33,13,"Alright. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",113,
Moderator,41,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,58,17,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,66,8,"You&#039;ll be talking to him twice. ",37,
Moderator,78,12,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,86,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,93,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,100,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,107,7,"You will not be talking twice with the same Actor. ",51,
Moderator,114,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,122,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,131,9,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,138,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,145,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,153,8,"Do not type more than one post per answer. ",43,
Moderator,160,7,"Do you understand the rules and what you have to do? ",53,
Geography1,165,5,"Yes, I do. ",11,
Moderator,170,5,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Geography1,174,4,"Yes. ",5,
Andrew,186,12,"Hello! ",7,
Geography1,193,7,"Hello to you as well. ",22,1
Andrew,201,8,"How are you doing? ",19,1
Geography1,209,8,"I&#039;m doing well, thanks. ",29,1
Andrew,229,20,"Cool! What are you up to today? ",32,1
Geography1,248,19,"I&#039;m browsing the internet, stumbled across this and it seemed interesting. ",80,1
Andrew,283,35,"I take It you&#039;re interested by AI stuff in general? ",57,1
Geography1,370,87,"I&#039;ve seen fictional portrayals.  Things like HAL in the movie 2001.   Often they get used as a literal Deus Ex Machina for the plot of a story, or to reflect a kind of Pandora&#039;s Box type story.   ",206,1
Andrew,464,94,"Yeah, most of the time they are portrayed as evil things that should be destroyed. Also more recently as things that could be useful like Jarvis in Iron Man. What&#039;s your take on that? ",189,1
Geography1,560,96,"I only saw the first two movies.  I thought he seemed sub-sentient in that situation.   Certainly Tony Stark treated him that way.  I didn&#039;t find his character to be that important to the plot. ",199,1
