Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome JustAFox. ",18,
Moderator,11,11,"Thank you for participating in this study. ",43,
Moderator,32,21,"If you can see this, please type &quot;Yes&quot; ",49,
JustAFox,57,25,"Yes ",4,
Moderator,63,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,71,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
JustAFox,75,4,"Okay. Go ahead. ",16,
Moderator,80,5,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,89,9,"You&#039;ll be talking to him twice. ",37,
Moderator,97,8,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,106,9,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,114,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,123,9,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,131,8,"You will not be talking twice with the same Actor. ",51,
Moderator,138,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,146,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,153,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,161,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,170,9,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,178,8,"Do not type more than one post per answer. ",43,
Moderator,187,9,"Do you understand the rules and what you have to do? ",53,
JustAFox,197,10,"Yes ",4,
Moderator,203,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
JustAFox,210,7,"Yes ",4,
Andrew,217,7,"Hello! ",7,
JustAFox,246,29,"Hello there my friend. How was your day, what did you to today? ",64,1
Andrew,275,29,"It&#039;s been quite alright thank you! Played a couple of games and stuff. What about you? ",92,1
JustAFox,361,86,"Hmm, what kind of games did you play and why did you prefer to stay inside when there&#039;s 20 degress outside with an all blue sky? I went  to work since it&#039;s Tuesday.",174,1
