Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Kandice. ",15,
Kandice,1,1,"Hello? ",7,
Moderator,5,4,"Thank you for participating in this study. ",43,
Kandice,12,7,"No problem! ",12,
Moderator,22,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,29,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Kandice,30,1,"Okay! ",6,
Moderator,49,19,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,58,9,"You&#039;ll be talking to him twice. ",37,
Moderator,64,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,70,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,77,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,82,5,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,89,7,"You will not be talking twice with the same Actor. ",51,
Moderator,96,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,106,10,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,112,6,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,119,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,126,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,132,6,"Do not type more than one post per answer. ",43,
Moderator,140,8,"Do you understand the rules and what you have to do? ",53,
Kandice,146,6,"I do ",5,
Moderator,151,5,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Kandice,160,9,"yup ",4,
Andrew,167,7,"Hello! ",7,
Kandice,174,7,"Hey there! How&#039;re you? ",28,1
Andrew,183,9,"I&#039;m doing alright! How about you? ",39,1
Kandice,195,12,"I&#039;m pretty well. Tired from a long work week.  ",52,1
Andrew,231,36,"Oh yeah I know what you mean. What does your work consist in? ",62,1
