Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Kiba! ",12,
Moderator,7,7,"Thank you for participating in this study! ",43,
Moderator,20,13,"Are you able to see this? ",26,
Kiba,21,1,"Of course! Sounds fun ",22,
Kiba,28,7,"Yes ",4,
Moderator,30,2,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,43,13,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,53,10,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,60,7,"You&#039;ll be talking to him twice. ",37,
Moderator,66,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,72,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,78,6,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,85,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,91,6,"You will not be talking twice with the same Actor. ",51,
Moderator,98,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,105,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,112,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,117,5,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,125,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,132,7,"Do not type more than one post per answer. ",43,
Moderator,139,7,"Do you understand the rules and what you have to do? ",53,
Kiba,152,13,"Yes ",4,
Moderator,158,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Kiba,165,7,"Yes ",4,
Andrew,177,12,"Hello! ",7,
Kiba,194,17,"Hello! Doing well? ",19,1
Andrew,204,10,"I am yes! How about you? ",25,1
Kiba,238,34,"Not bad myself. A little tired but not bad at all. ",51,1
Andrew,248,10,"Is it late for you? ",20,1
Kiba,302,54,"It&#039;s fairly late. About 30 minutes past midnight. How about on your end? ",78,1
Andrew,358,56,"Exactly the same actually. I live in Ontario. I assume you&#039;re on the east coast too? ",90,1
Kiba,425,67,"I am! Just a few hours away from the beach.  ",45,1
Andrew,464,39,"Nice! I can&#039;t quite say the same. I&#039;m a few hours away from Niagara Falls though, so that&#039;s that. ",113,1
