Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello there! ",13,
♫,1,1,"Hey there. ",11,
Moderator,9,8,"Thank you for participating in this study. ",43,
♫,16,7,"No problem. ",12,
Moderator,38,22,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,45,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
♫,45,0,"Okay. ",6,
Moderator,62,17,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,68,6,"You&#039;ll be talking to him twice. ",37,
Moderator,77,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,82,5,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,104,22,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,110,6,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,117,7,"You will not be talking twice with the same Actor. ",51,
Moderator,121,4,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,128,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,136,8,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,143,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,149,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,158,9,"Do not type more than one post per answer. ",43,
Moderator,166,8,"Do you understand the rules and what you have to do? ",53,
♫,169,3,"Yes. ",5,
Moderator,177,8,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
♫,181,4,"Yes. ",5,
Andrew,190,9,"Hello! ",7,
♫,194,4,"Hey there! ",11,1
Andrew,200,6,"How are you doing? ",19,1
♫,206,6,"Quite well, thank you. Yourself? ",33,1
Andrew,214,8,"I&#039;m quite alright thanks. ",31,1
♫,234,20,"Glad to hear it. ",17,1
Andrew,250,16,"What are you up to? ",20,1
♫,273,23,"Just having a snack. Do you like pineapple? ",44,1
Andrew,293,20,"Not really no. ",15,1
♫,313,20,"Oh, why not? ",13,1
Andrew,332,19,"I find it a bit weird actually. ",32,1
♫,353,21,"I mean, I think it&#039;s weird on pizza, but just as a fruit I think it&#039;s great. ",87,1
Andrew,379,26,"Well, in juice it&#039;s alright. ",34,1
