Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Mutationem. ",20,
Mutationem,7,7,"Hello ",6,
Moderator,27,20,"Thank you for participating in this study. ",43,
Moderator,37,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,45,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,54,9,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,61,7,"You&#039;ll be talking to him twice. ",37,
Moderator,67,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,77,10,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,84,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,91,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,97,6,"You will not be talking twice with the same Actor. ",51,
Moderator,105,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,114,9,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,121,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,129,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,135,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,142,7,"Do not type more than one post per answer. ",43,
Moderator,154,12,"Do you understand the rules and what you have to do? ",53,
Mutationem,158,4,"Yes ",4,
Moderator,172,14,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. ",87,
Andrew,188,16,"Hello! ",7,
Mutationem,197,9,"Hello ",6,1
Andrew,203,6,"How are you doing? ",19,1
Mutationem,221,18,"Good thank you. And you? ",25,1
Andrew,234,13,"I&#039;m doing quite alright. What are you up to? ",50,1
Mutationem,281,47,"Well currently I&#039;m thinking of questions to ask you that may trip you up.   ",81,1
Andrew,302,21,"Ah I see. Anything interesting yet? ",36,1
Mutationem,324,22,"I do have one idea. Would you like to hear the question? ",57,1
Andrew,332,8,"Shoot! ",7,1
Mutationem,400,68,"A woman walked past a window and saw her own reflection in the glass as well as a puppy behind the glass she was interested in buying. What did she see in the reflection that she wanted to purchase?  ",200,1
Andrew,421,21,"The puppy. ",11,1
Mutationem,435,14,"And why did she want to get the puppy?  ",40,1
Andrew,452,17,"I don&#039;t know. Because they are adorable? ",46,1
Mutationem,477,25,"I see. May I ask you a riddle.  ",32,1
Andrew,490,13,"I&#039;m not sure I&#039;m good at those, but sure. ",52,1
Mutationem,541,51,"A box without hinges, key, or lid, yet golden treasure inside is hid. What am I?  ",82,1
Andrew,593,52,"I honestly don&#039;t know. ",28,1
Mutationem,620,27,"I have one more thing to say to you when ever you are ready.  ",62,1
Andrew,639,19,"I&#039;m ready yes. Can I have the answer though? ",50,1
Mutationem,755,116,"Maybe later. Can you please re-wright this sentence using as many similes as you can? Here is the sentence: My name is Alice and once I fell down a rabbit hole and ended up in a new, strange world.  ",199,1
Andrew,888,133,"My name is Alice and once I fell down a rabbit hole as dark as your butt and ended up in a new world as strange as your mother. ",128,1
Mutationem,939,51,"Why did you choose those words? ",32,1
Andrew,953,14,"I thought they were kinda fun. ",31,1
Mutationem,969,16,"I have made my choice. What do I do now? ",41,1
Moderator,980,11,"Conversation interrupted! ",26,
Moderator,991,11,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Mutationem,1026,35,"The human ",10,
Moderator,1055,29,"Alright. We&#039;ll start the next conversation. Andrew will begin, and then you&#039;ll have 15 minutes again after your answer. ",130,
Andrew,1068,13,"Hello! ",7,
Mutationem,1077,9,"Hello ",6,2
Andrew,1083,6,"How are you doing? ",19,2
Mutationem,1100,17,"Good thank you. And you? ",25,2
Andrew,1108,8,"I&#039;m doing quite alright. ",30,2
Mutationem,1123,15,"Currently I&#039;m thinking of questions to ask you that may trip you up. ",74,2
Andrew,1147,24,"You&#039;ve got some already? ",30,2
Mutationem,1170,23,"I have some questions for you. Would you like to hear the them? ",64,2
Andrew,1181,11,"Sure! ",6,2
Mutationem,1201,20,"A woman walked past a window and saw her own reflection in the glass as well as a puppy behind the glass she was interested in buying. What did she see in the reflection that she wanted to purchase? ",199,2
Andrew,1224,23,"The puppy. ",11,2
Mutationem,1247,23,"And why did she want to get the puppy? ",39,2
Andrew,1271,24,"Puppies are kinda adorable. ",28,2
Mutationem,1283,12,"I see. May I ask you a riddle. ",31,2
Andrew,1292,9,"Sure. ",6,2
Mutationem,1296,4,"A box without hinges, key, or lid, yet golden treasure inside is hid. What am I? ",81,2
Andrew,1342,46,"I have no idea. ",16,2
Mutationem,1369,27,"I have one more thing to say to you when ever you are ready. ",61,2
Andrew,1380,11,"Sure. I&#039;m ready. ",22,2
Mutationem,1389,9,"Can you please re-wright this sentence using as many similes as you can? Here is the sentence: My name is Alice and once I fell down a rabbit hole and ended up in a new, strange world. ",185,2
Andrew,1470,81,"My name is Alice and once I fell down a rabbit hole as dark as your butt and ended up in a new world as strange as your mother. ",128,2
Mutationem,1498,28,"Why did you choose those words? ",32,2
Andrew,1522,24,"That sounded fun. ",18,2
Mutationem,1545,23,"I have made my choice ",22,2
Moderator,1562,17,"Conversation interrupted! ",26,
Moderator,1578,16,"Which actor do you think you&#039;ve been talking to in the first conversation?  ",81,
Mutationem,1662,84,"The human ",10,
Moderator,1679,17,"On a scale from 1 (not sure at all) to 7 (certain), how confident are you of your answer? ",90,
Mutationem,1694,15,"5 ",2,
Moderator,1705,11,"Alright thank you for your participation! If you&#039;ve given your e-mail, we&#039;ll send you some information about the results of this study in the coming months.  ",168,
