Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Page! ",14,
Moderator,19,19,"Thank you for participating in this study. ",43,
Moderator,39,20,"Are you able to read this? ",27,
Page,46,7,"Yes. ",5,
Moderator,56,10,"Good, In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",110,
Moderator,66,10,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,76,10,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,83,7,"You&#039;ll be talking to him twice. ",37,
Moderator,92,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,99,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,108,9,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,115,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,122,7,"You will not be talking twice with the same Actor. ",51,
Moderator,129,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,136,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,153,17,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,161,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,174,13,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,181,7,"Do not type more than one post per answer. ",43,
Moderator,187,6,"Do you understand the rules and what you have to do? ",53,
Page,199,12,"Yes. ",5,
Moderator,205,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Page,224,19,"Yep. ",5,
Andrew,229,5,"Hello! ",7,
Page,256,27,"Hiya. How&#039;re you doing? ",29,1
Andrew,268,12,"I&#039;m doing alright. How about you? ",39,1
Page,328,60,"I&#039;m doing alright myself. ",31,1
Andrew,345,17,"What are you up to? Nice. ",26,1
Page,373,28,"I j ust woke up, going to make breakfast soon.",46,1
Andrew,416,43,"What will you get? ",19,1
