Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello PokeLucas ",16,
PokeLucas,7,7,"Hello ",6,
Moderator,10,3,"Thank you for participating in this study. ",43,
Moderator,16,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,27,11,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,41,14,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,51,10,"You&#039;ll be talking to him twice. ",37,
Moderator,66,15,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,73,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,83,10,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,94,11,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,103,9,"You will not be talking twice with the same Actor. ",51,
Moderator,114,11,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,125,11,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,145,20,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,153,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,165,12,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,182,17,"Do not type more than one post per answer. ",43,
Moderator,193,11,"Do you understand the rules and what you have to do? ",53,
PokeLucas,198,5,"Yes ",4,
Moderator,207,9,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. ",87,
Andrew,229,22,"Hello! ",7,
PokeLucas,235,6,"Hello ",6,1
Andrew,242,7,"How are you doing? ",19,1
PokeLucas,252,10,"I am doing good, how are you? ",30,1
Andrew,260,8,"I&#039;m doing well thanks. ",28,1
PokeLucas,274,14,"That&#039;s good! ",18,1
Andrew,291,17,"Indeed! ",8,1
PokeLucas,321,30,"Do you like the work you are doing? ",36,1
Andrew,352,31,"I do yes. ",10,1
PokeLucas,377,25,"How long have you been doing it for? ",37,1
Andrew,388,11,"Just one year actually. ",24,1
PokeLucas,412,24,"It seems you have done a very good job so far. ",47,1
Andrew,427,15,"What makes you think that? ",27,1
PokeLucas,478,51,"Just a very unique piece of work that no one would&#039;ve imagined of a decade or two ago. ",92,1
Andrew,507,29,"I&#039;m not sure what you mean  actually.",42,1
PokeLucas,548,41,"You are doing a very good job! ",31,1
Andrew,572,24,"Yes but how do you know? I&#039;ve never seen you where I work. ",64,1
PokeLucas,613,41,"Your product itself shows how well you have been working. ",58,1
Andrew,661,48,"You&#039;re confusing me. Which product? ",41,1
PokeLucas,695,34,"Nevermind that, I am just confusing you. But I have made my decision. ",70,1
Moderator,717,22,"Alright. Conversation is interrupted! ",38,
Moderator,732,15,"Which actor do you think you&#039;ve been talking to? ",54,
PokeLucas,776,44,"The Artificial Intelligence ",28,
Moderator,810,34,"Alright. We&#039;ll start the second conversation. ",51,
Moderator,828,18,"Andrew will begin. The 15 minutes will start after you answer. ",63,
Andrew,843,15,"Hello! ",7,
PokeLucas,849,6,"Hello ",6,2
Andrew,855,6,"How are you doing? ",19,2
PokeLucas,868,13,"Good! How are you doing? ",25,2
Andrew,881,13,"I&#039;m doing alright. How about you ? ",40,2
PokeLucas,901,20,"I&#039;m doing ok. ",19,2
Andrew,933,32,"Sorry about the repeat . Somehow my mind messed up. What are you up to?",71,2
PokeLucas,973,40,"It&#039;s ok. I am just having a conversation with you and watching a movie. ",77,2
Andrew,985,12,"Nice. Which movie is it? ",25,2
