Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Princess_Balluna. ",26,
Moderator,19,19,"Thank you for participating in this study. ",43,
Princess_Balluna,31,12,"Sure thing ^^ ",14,
Moderator,41,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,48,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,69,21,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,76,7,"You&#039;ll be talking to him twice. ",37,
Moderator,84,8,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,91,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,97,6,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,102,5,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,110,8,"You will not be talking twice with the same Actor. ",51,
Moderator,115,5,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,121,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,130,9,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,135,5,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,141,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,147,6,"Do not type more than one post per answer. ",43,
Moderator,153,6,"Do you understand the rules and what you have to do? ",53,
Princess_Balluna,162,9,"Yes ",4,
Moderator,168,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Princess_Balluna,175,7,"I am ",5,
Andrew,180,5,"Hello! ",7,
Princess_Balluna,187,7,"Hi there! ",10,1
Andrew,193,6,"How are you doing? ",19,1
Princess_Balluna,205,12,"I am quite well, yourself? ",27,1
Andrew,222,17,"I&#039;m quite alright too. What are you up to? ",48,1
Princess_Balluna,242,20,"Oh, nothing much, relaxing and waiting for work, and you? ",58,1
Andrew,271,29,"Wondering if I should relax and play some video games. ",55,1
Princess_Balluna,298,27,"I honestly say video games, heh. ",33,1
Andrew,319,21,"Yeah I think so too. What kind of video games do you like? ",59,1
Princess_Balluna,353,34,"Sci fi games, mainly coop and quite a few rts style games ",58,1
