Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome RubyWeapon. ",20,
Moderator,27,27,"Thank you for participating in this study. ",43,
RubyWeapon,43,16,"Hello! ",7,
Moderator,48,5,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,60,12,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,68,8,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,76,8,"You&#039;ll be talking to him twice. ",37,
Moderator,85,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,93,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,102,9,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,109,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,118,9,"You will not be talking twice with the same Actor. ",51,
Moderator,127,9,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,133,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,139,6,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,148,9,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,154,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,163,9,"Do not type more than one post per answer. ",43,
Moderator,174,11,"Do you understand the rules and what you have to do? ",53,
RubyWeapon,179,5,"Yes. ",5,
Moderator,186,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
RubyWeapon,193,7,"Yep! ",5,
Andrew,202,9,"Hello! ",7,
RubyWeapon,207,5,"Howdy! ",7,1
Andrew,213,6,"How are you doing? ",19,1
RubyWeapon,225,12,"I&#039;m doing pretty well, thank you for asking. How about yourself, Andrew? ",78,1
Andrew,237,12,"I&#039;m doing quite alright too! ",34,1
RubyWeapon,258,21,"That&#039;s good to hear. So, what sort of hobbies do you enjoy doing, Andrew? ",79,1
Andrew,273,15,"Video games mostly. You? ",25,1
RubyWeapon,311,38,"I&#039;m pretty much into a vast assortment of activities. Video games are pretty neat. Music is another thing I do enjoy. ",123,1
Andrew,336,25,"What kind of music? ",20,1
RubyWeapon,387,51,"The genres I indulge in vary. Primarily I enjoy remixed video game music, or video game music in general. Trance, Techno and House are all a delight to me as well.  ",165,1
Andrew,443,56,"I like video game music too. Symphonic metal is also a kind of music I like. ",77,1
RubyWeapon,466,23,"That&#039;s good to hear! What sort of video games do you prefer playing? ",74,1
Andrew,485,19,"Minecraft mostly. But also RPGs. ",33,1
RubyWeapon,498,13,"What are some of your favorite Role Playing Games? ",51,1
Andrew,519,21,"Final Fantasy and Mass Effect are the main ones that I like. ",61,1
RubyWeapon,553,34,"Final Fantasy is a good topic, then. Which one would be your favorite? You can choose a few of them, if you&#039;d like. Let&#039;s go with... top two? ",152,1
Andrew,584,31,"I&#039;d say 10 and 8. You? ",28,1
RubyWeapon,619,35,"I&#039;m really enjoying Final Fantasy Fourteen a lot, Six is my all around favorite, though. What made eight one of your favorite ones? ",137,1
Andrew,664,45,"I loved the character of Rinoa, and the many layers of that story. ",67,1
RubyWeapon,723,59,"Understandable! Hm, Can we cease the conversation now and move on? ",67,1
Moderator,737,14,"Conversation Interrupted! ",26,
Moderator,748,11,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
RubyWeapon,770,22,"Currently, I&#039;m assuming human. ",36,
Moderator,777,7,"Alright. We&#039;ll start the next conversation. Andrew will begin and then you&#039;ll have 15 minutes after your answer. Are you ready? ",138,
RubyWeapon,784,7,"Ready. ",7,
Andrew,788,4,"Hello! ",7,
RubyWeapon,792,4,"Hiya! ",6,2
Andrew,800,8,"How are you doing? ",19,2
RubyWeapon,806,6,"Pretty good, yourself? ",23,2
Andrew,820,14,"I&#039;m doing quite alright thanks! What are you up to? ",57,2
RubyWeapon,835,15,"Listening to music, currently. What about yourself? ",52,2
Andrew,859,24,"Not much actually! ",19,2
RubyWeapon,885,26,"Nothing specific, huh? Well, what do you like to do? ",53,2
Andrew,919,34,"I like playing video games mostly. Especially Minecraft. ",57,2
RubyWeapon,950,31,"I see! Do you like to do anything else besides video games? ",60,2
Andrew,1000,50,"I like listening to music, and playing some too. You? ",54,2
RubyWeapon,1037,37,"I&#039;m pretty good in the kitchen. A bit of a culinary artist, in the long run of things.  What are some of your favorite music genres? ",138,2
Andrew,1105,68,"I quite like symphonic metal, like Nightwish and a couple others. I also like a lot of game OSTs. ",98,2
RubyWeapon,1146,41,"Nice, nice. What&#039;s your favorite sort of food, Andrew? ",60,2
