Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Special. ",17,
Special,18,18,"Hello? ",7,
Moderator,22,4,"Thank you for participating in this study. ",43,
Special,32,10,"Of course! ",11,
Moderator,42,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,49,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Special,67,18,"Sounds good ",12,
Moderator,71,4,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,78,7,"You&#039;ll be talking to him twice. ",37,
Moderator,84,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,99,15,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,107,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Special,107,0,"Ok ",3,
Moderator,117,10,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,125,8,"You will not be talking twice with the same Actor. ",51,
Moderator,135,10,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,145,10,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,153,8,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,163,10,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,173,10,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,181,8,"Do not type more than one post per answer. ",43,
Moderator,189,8,"Do you understand the rules and what you have to do? ",53,
Special,200,11,"Yes ",4,
Moderator,224,24,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. ",87,
Moderator,230,6,"Are you ready? ",15,
Special,235,5,"Yeah sure ",10,
Andrew,250,15,"Hello! ",7,
Special,256,6,"Hi there ",9,1
Andrew,264,8,"How are you doing? ",19,1
Special,290,26,"I&#039;m pretty tired actually, but nothing new. How about you? ",64,1
Andrew,302,12,"Pretty much the same. ",22,1
Special,313,11,"Long day? ",10,1
Andrew,328,15,"Yeah actually. ",15,1
Special,347,19,"Mind if I ask what made it a long day for you? ",47,1
Andrew,361,14,"Had a lot of work to do. ",25,1
Special,411,50,"I get that ",11,1
Andrew,432,21,"What are you up to tonight? ",28,1
Special,508,76,"Nothing special, I plan on just staying in tonight  ",52,1
Andrew,522,14,"Relaxing? ",10,1
Special,534,12,"Exactly  ",9,1
Andrew,543,9,"I should probably do that too. ",31,1
Special,578,35,"But you have to be part of this experiment ",43,1
Andrew,595,17,"I&#039;ll wait for it to be done of course. ",44,1
Special,629,34,"Well then I&#039;m that case, yeah you should relax afterwards ",63,1
Andrew,676,47,"I definitely will. What do you like to do in general? ",54,1
Special,758,82,"I like to hang out with my best friend ",39,1
Andrew,784,26,"Sounds quite nice! ",19,1
Special,857,73,"Yeah it can be, what do you like to do? ",40,1
Andrew,876,19,"Playing video games mostly. ",28,1
Special,900,24,"What is you favorite video game? ",33,1
Andrew,924,24,"I&#039;d say Minecraft. ",24,1
Special,938,14,"Why minecraft? ",15,1
Andrew,956,18,"Mostly socializing. ",20,1
Special,993,37,"So not so much the gameplay, more about the social aspects of the game, yeah? ",78,1
Andrew,1033,40,"Well, the gameplay isn&#039;t too bad either, but yes. ",55,1
Special,1090,57,"Interesting - do you play on any multiplayer servers? ",54,1
Andrew,1119,29,"Only private ones with friends. ",32,1
Special,1160,41,"You make me believe that you are human  to be quite honest with you ",68,1
Moderator,1169,9,"Time is up! ",12,
Moderator,1189,20,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Special,1215,26,"I think I was talking to the human actor ",41,
Moderator,1235,20,"Alright, we&#039;ll start the next conversation. Andrew will begin, then you&#039;ll have 15 minutes after your answer. Are you ready? ",135,
Special,1251,16,"Yes ",4,
Andrew,1259,8,"Hello! ",7,
Special,1270,11,"Hi there ",9,2
Andrew,1280,10,"How are you doing? ",19,2
Special,1320,40,"I&#039;m alright - you? ",24,2
Andrew,1337,17,"I&#039;m alright too. A bit tired though. ",42,2
Special,1362,25,"Long day? ",10,2
Andrew,1388,26,"Yeah pretty much. A lot of work to do. ",39,2
Special,1433,45,"What do you do? If  you don&#039;t mind me asking",49,2
Andrew,1459,26,"I study biology. Neurosciences to be accurate. ",47,2
Special,1516,57,"Reading that made me feel tired, I can understand why you feel the way you do ",78,2
Andrew,1550,34,"Exactly! It&#039;s interesting though. Just... a lot to do. ",60,2
Special,1639,89,"What is your &quot;dream job&quot; given what you are currently studying  ",74,2
Andrew,1720,81,"I&#039;d want to do research. To understand how we think and how neurons work, basically. Maybe someday become professor. ",122,2
Special,1806,86,"That&#039;s daunting ",21,2
Andrew,1817,11,"What about you? What do you do? ",32,2
Special,1854,37,"I&#039;m just trying to graduate high school right now, then I can worry about my college studies ",98,2
Andrew,1879,25,"What do you want to do in college? ",35,2
