Author,TimeStamp,Delay,Message,Characters,Conversation
StarRider88,0,0,Hello. ,7,
Moderator,10,10,Welcome StarRider88 ,20,
Moderator,25,15,Thank you for participating in this study. ,43,
Moderator,43,18,"If you can see this, please say Yes ",36,
StarRider88,206,163,Yes ,4,
Moderator,222,16,"Perfect. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",113,
Moderator,230,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,241,11,You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ,131,
Moderator,249,8,You&#039;ll be talking to him twice. ,37,
StarRider88,257,8,That sounds good. Are you the guy who sent me the link? ,56,
Moderator,261,4,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,275,14,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,285,10,We will call the Human and the Artificial Intelligence the Actors. ,67,
Moderator,294,9,The order in which you&#039;ll be talking to each Actor is random. ,67,
Moderator,303,9,You will not be talking twice with the same Actor. ,51,
Moderator,310,7,Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ,120,
Moderator,320,10,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,330,10,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,337,7,Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ,91,
Moderator,344,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,352,8,Do not type more than one post at a time. ,42,
Moderator,362,10,Do you understand the rules and what you have to do? ,53,
StarRider88,371,9,Yes I do. ,10,
Moderator,379,8,Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ,102,
StarRider88,392,13,Yes. ,5,
Andrew,396,4,Hello! ,7,
StarRider88,0,10,"Hi, Andrew. How are you doing? ",31,1
Andrew,13,13,I&#039;m doing quite alright thanks! How about you? ,52,1
StarRider88,38,25,I&#039;m doing great. I just got done playing Guitar Hero on the Wii. ,70,1
Andrew,56,18,Oh nice! I haven&#039;t played that in a very long while. ,58,1
StarRider88,81,25,Oh really? I was playing Legends of Rock. Which song is your favorite on there? ,80,1
Andrew,111,30,I honestly don&#039;t remember any of them. I just remember that it was really hard. ,85,1
StarRider88,154,43,It&#039;s only hard if you choose to play on Hard. ,51,1
Andrew,205,51,I found it hard to do even on normal. But I never played it long enough to really learn the buttons. ,101,1
StarRider88,265,60,Ah. Do you have a job? ,23,1
Andrew,304,39,"Kind of. I&#039;m a student, but I work at a KFC to pay for tuition. ",69,1
StarRider88,352,48,Haha KFC. I&#039;m also a student. What college to you go to if you don&#039;t mind me asking? ,95,1
Andrew,376,24,"I study Biology at the University of Western, Ontario. ",55,1
