Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Takeru. ",16,
Moderator,32,32,"Thank you for participating in this study. ",43,
Moderator,41,9,"If you can see this, please type &quot;yes&quot; ",49,
Takeru,47,6,"yes ",4,
Moderator,53,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,61,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,71,10,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,81,10,"You&#039;ll be talking to him twice. ",37,
Moderator,92,11,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,101,9,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,109,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,118,9,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,149,31,"You will not be talking twice with the same Actor. ",51,
Moderator,149,0,"You will not be talking twice with the same Actor. ",51,
Moderator,157,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,169,12,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,178,9,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,198,20,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,214,16,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,222,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,229,7,"Do not type more than one post per answer. ",43,
Moderator,238,9,"Do you understand the rules and what you have to do? ",53,
Takeru,247,9,"yes ",4,
Moderator,252,5,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Takeru,262,10,"yes ",4,
Andrew,268,6,"Hello! ",7,
Takeru,279,11,"Hi, how are you? ",17,1
Andrew,296,17,"I&#039;m doing alright! How about you? ",39,1
Takeru,333,37,"I am going okay. What do you wanna talk about? ",47,1
Andrew,354,21,"Up to you really. What are you up to today? ",44,1
Takeru,415,61,"Not much, some work on the garden, I still have to do some shopping today and then watch some TV shows. ",104,1
Andrew,440,25,"Oh alright! What TV shows do you watch? ",40,1
Takeru,529,89,"My most favorite as of now are shows from Arrowverse. Oh, and I saw they started airing new Attack on Titan, gotta catch up on that one. ",137,1
Andrew,578,49,"Oh they did? I didn&#039;t know about that. I liked that anime a lot but I thought there wouldn&#039;t be any more episodes. ",125,1
Takeru,705,127,"Season 2 was announced for quite some time, I think. Well, 2 or 3 episodes are out now. I would more welcome to see Season 2 of No Game No Life though. Well, at least there is gonna be a movie. ",194,1
Andrew,734,29,"I&#039;ve never heard of that one. What is it about? ",53,1
Takeru,836,102,"No Game No Life? It&#039;s about 2 siblings, brother and sister, who are avid gamers with unmatched gaming skills. They are invited by god of games to live in his world where games decide everything. ",200,1
Andrew,889,53,"That actually sounds quite fun. I should check it out! ",55,1
Takeru,936,47,"Speaking of things that I enjoy, have you heard of game called Undertale? ",74,1
Andrew,959,23,"I have yes. I&#039;ve never played it though. ",46,1
Takeru,1026,67,"I hope you did not watch any spoilers. I did and I wish I didn&#039;t. Games like these are best experienced first hand. ",121,1
Andrew,1052,26,"Would you recommend it to me then? ",35,1
Takeru,1123,71,"Heh, recomend... During Christmas sale I bought it 7 times to give it to all of my friends who had it on wishlist. ",115,1
Andrew,1180,57,"Right. And alright. I&#039;ll try to get it soon then. ",55,1
Moderator,1186,6,"Time is up! ",12,
Moderator,1199,13,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Takeru,1226,27,"human ",6,
Moderator,1235,9,"Alright. We&#039;ll start the next conversation. Andrew will begin and then you&#039;ll have 15 minutes after your answer. Are you ready? ",138,
Takeru,1307,72,"yes ",4,
Andrew,1312,5,"Hello! ",7,
Takeru,1328,16,"Hi. How are you doing? ",23,2
Andrew,1340,12,"I&#039;m doing quite alright. How about you? ",45,2
Takeru,1388,48,"I am doing good. What would you like to talk about? ",52,2
Andrew,1410,22,"It&#039;s up to you really. What are you up to? ",48,2
Takeru,1458,48,"Not much. I have some shopping ahead, then I am gonna watch some TV shows and maybe some YouTube videos. ",105,2
Andrew,1478,20,"Oh nice! What TV shows do you like? ",36,2
