Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Tam. ",13,
Moderator,7,7,"Thank you for participating in this study. ",43,
Tam,23,16,"No problem, got some time to kill. ",35,
Moderator,33,10,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,39,6,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,59,20,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,66,7,"You&#039;ll be talking to him twice. ",37,
Moderator,76,10,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,86,10,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,93,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,100,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,111,11,"You will not be talking twice with the same Actor. ",51,
Moderator,119,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,127,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,138,11,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,147,9,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,155,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,164,9,"Do not type more than one post per answer. ",43,
Moderator,172,8,"Do you understand the rules and what you have to do? ",53,
Tam,190,18,"I do. Any other kinds of posts that are to be avoided? ",55,
Moderator,214,24,"Not necessarily. But try to keep talking to Andrew, not the actors. ",68,
Moderator,269,55,"Any other questions? ",21,
Tam,289,20,"Don&#039;t think so. ",21,
Moderator,297,8,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Tam,306,9,"Yes. ",5,
Andrew,312,6,"Hello! ",7,
Tam,322,10,"Hello, Andrew! How has your day been? ",38,1
Andrew,339,17,"It&#039;s been quite alright thanks! What about your day? ",58,1
Tam,362,23,"It was okay, first week of Uni is always a bit boring. Are you a student too, or what do you do? ",97,1
Andrew,417,55,"I study Biology yes. Why is this your first week though? Isn&#039;t it halfway through the year already? ",105,1
Tam,447,30,"Not where I live. The semester just started this Monday - or rather this Tuesday, since the Monday was a holiday. ",114,1
Andrew,478,31,"Oh alright. Where do you live? If you don&#039;t mind me asking. ",65,1
Tam,505,27,"Germany, that is as specific as I am going to get. You&#039;re in France, I guess? ",83,1
Andrew,528,23,"No I&#039;m in Canada actually. Ontario to be more accurate. ",61,1
Tam,607,79,"Oh, my brother was there as an exchange student a few years back. He went to Quebec, though. ",93,1
Andrew,642,35,"Oh nice! I&#039;ve actually never been to Quebec yet. ",54,1
Tam,683,41,"He said it was alright, although rather cold. His fault for going to Canada in the winter I guess. ",99,1
Andrew,726,43,"Well to be fair, winter kinda lasts for 6 months here. ",55,1
Tam,778,52,"I am still blaming him. He planned it, he froze his ass off. ",61,1
Andrew,837,59,"We had a very cold winter 2 years ago. How is the weather in Germany right now? ",80,1
