Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome bediko. ",16,
bediko,5,5,"Hi ",3,
Moderator,8,3,"Thank you for participating in this study. ",43,
Moderator,26,18,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,33,7,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,44,11,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,53,9,"You&#039;ll be talking to him twice. ",37,
Moderator,65,12,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,72,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,79,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,101,22,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,106,5,"You will not be talking twice with the same Actor. ",51,
Moderator,114,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,122,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,129,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,137,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,146,9,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,152,6,"Do not type more than one post per answer. ",43,
Moderator,163,11,"Do you understand the rules and what you have to do? ",53,
bediko,169,6,"yes ",4,
Moderator,178,9,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. ",87,
bediko,203,25,"ok ",3,
Andrew,203,0,"Hello! ",7,
bediko,207,4,"Hi ",3,1
Andrew,217,10,"How are you? ",13,1
bediko,223,6,"FIne and you? ",14,1
Andrew,232,9,"I&#039;m doing alright. ",24,1
bediko,248,16,"Cool. Where are you from? ",26,1
Andrew,264,16,"I&#039;m from Canada. You? ",27,1
bediko,269,5,"Germany ",8,1
Andrew,280,11,"Oh nice! ",9,1
bediko,343,63,"So, are you only responding if I write something? ",50,1
Andrew,372,29,"We can only say one message each time. ",39,1
bediko,393,21,"Mhhhh, but I am really bad at keeping conversations going on ",61,1
Andrew,413,20,"What are you up to? ",20,1
bediko,428,15,"Not much, just chatting ",24,1
Andrew,448,20,"Alright. It must be late in Germany. ",37,1
bediko,475,27,"Yes, it is 8:17pm here ",23,1
Andrew,521,46,"Alright. It&#039;s 2pm here. ",29,1
bediko,549,28,"Cool ",5,1
Andrew,571,22,"What do you like to do? ",24,1
bediko,586,15,"Sleeping, playing video games ",30,1
Andrew,601,15,"Which ones? ",12,1
bediko,638,37,"World of Warcraft, Diablo 3, Hearthstone, Dark Souls, Skyrim, Minecraft, Tomb Raider, pretty much everything that could be fun ",127,1
Andrew,670,32,"I haven&#039;t played most of those. Only Minecraft, Skyrim and Tomb Raider. ",77,1
bediko,701,31,"Okay. How do I switch the actor? ",33,1
Moderator,719,18,"Conversation interrupted. ",26,
Moderator,731,12,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
bediko,753,22,"I think it was the AI ",22,
Moderator,779,26,"Alright. We&#039;ll start the second conversation. Andrew will begin, then you&#039;ll have 15 minutes after your answer. ",122,
Andrew,790,11,"Hello! ",7,
bediko,817,27,"Hi ",3,2
Andrew,835,18,"How are you doing? ",19,2
bediko,842,7,"Fine and you? ",14,2
Andrew,857,15,"I&#039;m doing quite alright. What are you up to? ",50,2
bediko,879,22,"Chatting right now, where are you from? ",40,2
Andrew,893,14,"Canada. What about you? ",24,2
bediko,902,9,"Germany ",8,2
Andrew,921,19,"Oh nice. I&#039;d like to go to Europe someday. ",48,2
bediko,950,29,"And what do you think will be interesting here? ",48,2
Andrew,967,17,"There is a lot of interesting architecture. ",44,2
bediko,1021,54,"Could be ",9,2
Andrew,1044,23,"Where are you from exactly? ",28,2
bediko,1054,10,"Duisburg ",9,2
Andrew,1073,19,"I&#039;ve never heard of it. Is it a small town? ",49,2
bediko,1120,47,"One of the big towns of the ruhr area ",38,2
Andrew,1151,31,"I really don&#039;t know much about Germany... What do you like to do? ",71,2
bediko,1170,19,"I think I am done with this actor ",34,2
Moderator,1182,12,"Conversation Interrupted ",25,
Moderator,1198,16,"Which actor do you think you&#039;ve been talking to in the first conversation?  ",81,
bediko,1206,8,"Human ",6,
Moderator,1211,5,"On a scale from 1 (not sure at all) to 7 (certain), how confident are you of your answer? ",90,
bediko,1219,8,"5 ",2,
Moderator,1224,5,"Alright thank you for your participation! If you&#039;ve given your e-mail, we&#039;ll send you some information about the results of this study in the coming months.  ",168,
bediko,1240,16,"Will you tell me which one was the AI? ",39,
Moderator,1245,5,"If you have any comment you can share them now. Otherwise you can now close this window. ",89,
Moderator,1264,19,"The AI was the first one. ",26,
bediko,1273,9,"<img src='smiles/bigsmile.png'/> ",33,
bediko,1278,5,"okay. Nice job ",15,
bediko,1296,18,"Thanks for playing with me and good luck with your study ",57,
Moderator,1315,19,"Thank you very much. ",21,
,,,,,
Summary,,,,,
,First Conversation,Second Conversation,,,
Duration,494,353,,,
User Average,22.3333333333333,24.8888888888889,,,
Actor Average,20.9090909090909,19.5,,,
User Average (5min),19.625,22.5714285714286,,,
Actor Average (5min),16.4285714285714,17.8571428571429,,,
User CharLength,33.6666666666667,22.5555555555556,,,
Actor CharLength,28.2727272727273,41.625,,,
User CharLength (5min),26.125,18.7142857142857,,,
Actor CharLength (5min),24.1428571428571,37.4285714285714,,,
